neg,neu,pos,compound,headline,date
0.259,0.506,0.234,-0.1027,"South Korean Stocks Slide, Won Dips as Political Crisis Deepens",2024-12-09
0.238,0.762,0.0,-0.3612,"Asia stocks slugged by South Korea turmoil, China disinflation",2024-12-09
0.0,1.0,0.0,0.0,Five Key Charts to Watch in Global Commodity Markets This Week,2024-12-09
0.0,1.0,0.0,0.0,"‘The mother of all bubbles’ in the US is sucking money away from the rest of the world, market expert says",2024-12-09
0.0,0.853,0.147,0.4767,"Sports, pop culture, and the weather: What's next for betting markets after exploding in popularity during the 2024 election",2024-12-09
0.0,1.0,0.0,0.0,Wall Street's 2025 outlook for stocks,2024-12-09
0.0,0.886,0.114,0.2023,How Trump's policies could lead to a resurgence of industrial stocks: Top picks for 2025,2024-12-09
0.0,1.0,0.0,0.0,Analysts reset GitLab stock price target after earnings,2024-12-09
0.0,0.795,0.205,0.2023,Top stock market themes to target in 2025,2024-12-09
0.0,1.0,0.0,0.0,Why Apple has little to do with these 2 rocking telecom stocks,2024-12-09
0.252,0.748,0.0,-0.4019,"Yuan, Euro Slump Points to Losses for Emerging-Market Currencies",2024-12-09
0.0,1.0,0.0,0.0,"1 Stock to Buy, 1 Stock to Sell This Week: Oracle, AutoZone",2024-12-09
0.0,1.0,0.0,0.0,Analysts update Asana stock price target after earnings,2024-12-09
0.0,1.0,0.0,0.0,Jefferies Predicts Up to ~1000% Surge for These 2 ‘Strong Buy’ Stocks,2024-12-09
0.0,0.741,0.259,0.6369,"Money market account rates today, December 8, 2024 (best account provides 5.00% APY)",2024-12-09
0.0,1.0,0.0,0.0,What To Expect in the Markets This Week,2024-12-09
0.0,1.0,0.0,0.0,"Costco, Oracle, GameStop, and more stocks to watch this week",2024-12-09
0.254,0.574,0.172,-0.25,Reefer market tightens: Rising tender rejections signal shifting dynamics,2024-12-09
0.0,1.0,0.0,0.0,Cathie Wood sells $5 million of surging tech stock,2024-12-09
0.0,1.0,0.0,0.0,"OPEC’s market power is ‘less than you would imagine’ and the US doesn’t need to get fussed over the cartel, State Dept. official says",2024-12-09
0.0,1.0,0.0,0.0,A longtime stock market bear is rethinking his view after this year's dizzying rally,2024-12-09
0.0,0.893,0.107,0.2023,SpaceX and Palantir now have bigger valuations than top aerospace-defense stocks as the military eyes transformation,2024-12-09
0.0,0.726,0.274,0.5267,How AT&T Stock (NYSE:T) Is Back to Its Winning Ways,2024-12-09
0.15,0.85,0.0,-0.4588,"Billionaires have been beating the stock market — where they are putting their money now, according to UBS",2024-12-09
0.182,0.818,0.0,-0.4404,"The next S&P 500 shake-up could usher in Coinbase, Block, or these other stocks",2024-12-09
0.308,0.692,0.0,-0.5994,Wall Street isn’t worried about a stock-market crash. That’s why you should be.,2024-12-09
0.0,1.0,0.0,0.0,"10 fast-growing software stocks to watch in 2025, including the runaway Palantir",2024-12-09
0.0,1.0,0.0,0.0,"The housing market should pick up next year, but the path looks choppy",2024-12-09
0.0,1.0,0.0,0.0,UnitedHealth Backlash Signals Possible Shift in Washington and on Wall Street,2024-12-09
0.0,1.0,0.0,0.0,CONX Enhances Market Position with Strategic Acquisition,2024-12-09
0.0,1.0,0.0,0.0,Dwayne 'The Rock' Johnson says he used to wrestle for $40 in flea markets — now he's one of the world's top-paid actors,2024-12-09
0.0,1.0,0.0,0.0,RBC Picks 2 Utility Stocks Powering the Data Center Revolution,2024-12-09
0.0,1.0,0.0,0.0,The hidden genius in two of Wall Street's 2025 calls: Chart of the Week,2024-12-09
0.0,0.741,0.259,0.6369,"Money market account rates today, December 7, 2024 (best account provides 5.00% APY)",2024-12-09
0.0,1.0,0.0,0.0,Prologis downgraded to Underperform from Market Perform at BMO Capital,2024-12-09
0.451,0.549,0.0,-0.8126,French Stock Pain Set to Continue After Worst Year Since 2010,2024-12-09
0.0,0.811,0.189,0.5423,Stock market today: S&P 500 ends at record high as November jobs data fuels investor optimism,2024-12-09
0.0,0.798,0.202,0.5129,"The Fed shouldn't cut rates as inflation is rising, markets are too frothy, JPMorgan Asset Management bond expert says",2024-12-09
0.0,0.781,0.219,0.4939,"Nvidia could deliver a big surprise to Wall Street that would 'power up' its profitability, analyst says",2024-12-09
0.151,0.504,0.345,0.4019,Prospect Capital’s Private Credit Fund Cut to Junk by S&P,2024-12-09
0.0,1.0,0.0,0.0,"Trillion-Dollar Gap Shows Diverging Korea, Taiwan Stock Fortunes",2024-12-09
0.0,0.804,0.196,0.296,Apollo and Workday to Join S&P 500 After Index Rebalancing,2024-12-09
0.0,0.761,0.239,0.296,"Apollo Global Management, Workday to Join S&P 500",2024-12-09
0.0,1.0,0.0,0.0,Stock market today: Indexes rise as rate-cut odds edge up after jobs report,2024-12-09
0.0,1.0,0.0,0.0,ETFs Pull in $1T YTD for First Time Amid Market Leap,2024-12-09
0.137,0.457,0.406,0.6486,S&P 500 Gains and Losses Today: Lululemon Stock Soars on Bright Holiday Outlook,2024-12-09
0.0,1.0,0.0,0.0,"S&P 500, Nasdaq Close at Record Highs After Jobs Report",2024-12-09
0.0,0.825,0.175,0.1779,Stocks Extend Record-Breaking Run After Jobs Data: Markets Wrap,2024-12-09
